,Cena,Liczba_pokoi,Powierzchnia,Piętro,Lokalizacja,Opis,liczba, opis,_merge
16,269.0,2.0,55.5,10.0,Poznań Rataje ul. Falista,Słoneczne mieszkanie na dziesiątym piętrze w wieżowcu w Poznaniu w dzielnicy Rataje. Dwa pokoje okna wychodzące na południe zachód; widok na panoramę miasta. Standard wykończenia: Ściany - glazura gładź gipsowa; Podłogi - panele podłogowe ...,,,left_only
17,175.0,1.0,31.0,10.0,Poznań Grunwald,Zapraszam do zapoznania się z ofertą sprzedaży atrakcyjnego mieszkania ! Oferta dotyczy 1-pokojowego mieszkania na 10 piętrze w 11 piętrowym bloku o pow. 31 m2. Mieszkanie składa się z: - pokoju (19 5 m2); - przedpokoju (2 m;2) - kuchni (6 5...,,,left_only
18,229.0,2.0,42.6,10.0,Poznań Grunwald ul. Palacza,OFERTA ZABLOKOWANA!!!! W centrum Grunwaldu Sympatyczne komfortowe mieszkanie dwupokojowe o powierzchni użytkowej 42 60m2. Położone na X piętrze w X-piętrowym budynku z pięknym widokiem na panoramę Poznania. Układ funkcjonalny mieszkania:...,,,left_only
19,260.0,3.0,56.0,10.0,Poznań Rataje Starołęka Wilda Żegrze ul. Oświecenia,Oferuję na sprzedaż mieszkanie 3 pokojowe na Os. Oświecenia na Ratajach. Mieszkanie znajduje się na 2 piętrze w niskim bloku. Mieszkanie po remoncie do zamieszkania bez dodatkowych kosztów. Okna PCV. Na ścianach - położona gładź szpachlowa....,,,left_only
20,240.0,2.0,42.0,10.0,Poznań ul. Os. Czecha,Nowa atrakcyjna cena!! Śliczne mieszkanie Os. Czecha! Polecam na sprzedaż mieszkanie 2-pokojowe z balkonem o powierzchni 42 42m2. Mieszkanie mieści się na 10 piętrze. Łazienka z prysznicem po gruntowym remoncie –stan idealny. Mieszkanie...,,,left_only
21,249.0,2.0,49.0,10.0,Poznań Rataje ul. Os.Lecha,Rataje - Os.Lecha 10 min od Malty doskonała lokalizacja 10 min od Starego Rynku idealna komunikacja : autobusy tramwaje pełna infrastruktura ; szkoły przedszkola sklepy poczta place zabaw służba zdrowia itp dwa niezależne pokoje...,,,left_only
22,185.0,2.0,37.5,10.0,Poznań Łazarz ul. Głogowska,Dominanta nieruchomości 692 721 633 Zapraszam do zapoznania się z ofertą sprzedaży mieszkania dwupokojowego usytuowanego na ostatnim piętrze wysokiego bloku przy ulicy Głogowskiej w dzielnicy Łazarz. Położenie mieszkania jest w idealnej...,,,left_only
23,250.0,2.0,40.0,10.0,Poznań Winogrady,Szanowni Państwo Jako właściciel Biura Nieruchomości EURO-dom.CO oferuję Państwu profesjonalne i skuteczne usługi pośrednictwa w obrocie nieruchomościami. Nasz zespół to Pośrednicy Prawnik Biegły Rewident Podatkowy Agent Ubezpieczeniowy. Mamy...,,,left_only
24,246.0,2.0,37.0,10.0,Poznań ul. Turkusowa,Oferuję na sprzedaż mieszkanie 37 mkw przy ulicy Turkusowej . W skład mieszkania wchodzą pokój z aneksem kuchennym mały pokój przedpokój łazienka. Mieszkanie znajduje się na 10 piętrze wysokiego bloku który został ocieplony wykonana nowa...,,,left_only
25,260.0,3.0,56.0,10.0,Poznań Grunwald ul. Galileusza,Biuro Obrotu Nieruchomościami MONTERIAN uprzejmie informuję o sprzedaży mieszkania położonego na Grunwaldzie na ul. Galileusza. Lokal znajduję się na 10 piętrze wysokiego zadbanego bloku. Metraż nieruchomości to 56 mkw układ wszystkich...,,,left_only
26,283.0,3.0,64.0,10.0,Poznań Rataje ul. Os. Rusa,Mieszkanie na sprzedaż pow. 64m2 Poznań Rataje os. Rusa dziesiąte piętro w wysokim bloku okna PCV loggia mieszkanie rozkładowe salon z loggią i dwa pokoje panele na podłodze kuchnia osobno zabudowana sprzęt AGD łazienka z kabiną...,,,left_only
27,270.0,3.0,64.3,10.0,Poznań Nowe Miasto Rataje ul. Os. Orła Białego,Na sprzedaż przestronne mieszkanie o powierzchni 65 m2 na ostatnim piętrze10-cio piętrowego budynku z lat 80-tych. Blok wyremontowany ocieplony z windami na poznańskich ratajach. Mieszkanie posiada 3 niezależne ustawne pokoje: największy o...,,,left_only
28,175.0,1.0,31.0,10.0,Poznań Poznań-Grunwald ul. Galileusza,Na sprzedaż jasna i przestronna kawalerka o powierzchni 31m2 znajdująca się na 10 piętrze w bloku z windą na osiedlu Kopernika w Poznaniu. Blok ocieplony okna nowego typu drewniane ciepłe (okna od strony południowej ). Przestrzeń na klatce...,,,left_only
29,414.0,3.0,74.0,10.0,Poznań Grunwald Górczyn,Mieszkanie w stanie deweloperskim o powierzchni 74 m2 z wyjątkowym tarasem o pow. ok. 15 m2. Piękny widok na panoramę miasta.  W stanie deweloperskim otrzymacie Państwo: - drzwi antywłamaniowe; - ściany i sufity tynk gipsowy zatarty na gładko ...,,,left_only
30,269.0,3.0,56.0,10.0,Poznań Grunwald ul. Galileusza,Rozkładowe jasne mieszkanie na dziesiątym piętrze w wieżowcu w Poznaniu w dzielnicy Grunwald. Trzy pokoje okna wychodzące na północ południe wschód zachód; widok na park. Standard wykończenia: Ściany - boazeria glazura gładź gipsowa;...,,,left_only
31,185.0,2.0,37.0,10.0,Poznań Łazarz ul. Głogowska,Polecam na sprzedaż mieszkanie 2 pokojowe o powierzchni 37 50 m2 położone przy ulicy Głogowskiej na ostatnim 10 piętrze. Mieszkanie w układzie niezależnym 2 pokoje kuchnia łazienka korytarz. Z większego pokoju wyjście na balkon. Mieszkanie...,,,left_only
32,246.0,2.0,50.0,10.0,Poznań ul. Os. Armii Krajowej,Media gaz ogrzewanie: miejskie. Informacje dodatkowe kuchnia umeblowana piwnica winda meble domofon lodówka pralka telewizor łazienka z wc Opis Mieszkanie 2 pokojowe Armii Krajowej CENA DO NEGOCJACJI!!! Do sprzedaży mieszkanie o...,,,left_only
33,255.0,2.0,49.0,10.0,Poznań Rataje Śródka Centrum Wilda Łazarz Zawady ul. Lecha - Polecam!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Ratajach ( os. Lecha ). Na 49 m2 składają się dwa ustawne i nieprzechodnie pokoje ...,,,left_only
34,250.0,2.0,49.0,10.0,Poznań Piątkowo ul. Os.Bol. Chrobrego,Ładne 2 pokoje blisko kampusu Lokalizacja : Polska – Poznań ( Piątkowo ) Informacje podstawowe : Mieszkanie blok do sprzedania Szczegóły : Powierzchnia : 48 8 m2 Liczba pokoi : 2 Piętro : 10 Opis : Idealne dla rodziny jak i...,,,left_only
35,245.0,2.0,42.0,10.0,Poznań Rataje Malta Starołęka Chartowo Czech ul. Czecha,Przedmiotem sprzedaży jest 2- pokojowe mieszkanie zlokalizowane na RATAJACH na Osiedlu Czecha o łącznej powierzchni 43m2. Zlokalizowane na X piętrze w wysokim bloku. Mieszkanie jest częściowo umeblowane 2 niezależne pokoje kuchnia meble pod...,,,left_only
36,350.0,4.0,80.0,10.0,Poznań Rataje Starołęka Wilda Śródka ul. Stare Żegrze,Oferuję na sprzedaż mieszkanie 4 pokojowe na os. Stare Żegrze na Ratajach. Mieszkanie położone jest na 10 piętrze w wieżowcu. Na powierzchnię mieszkania 80 m2 składają się: 4 pokoje kuchnia przedpokój łazienka i osobno WC. Mieszkanie pięknie...,,,left_only
37,360.0,4.0,88.5,10.0,Poznań Rataje ul. Os. Rusa,Rozkładowe przestronne mieszkanie na dziesiątym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Rataje. Cztery pokoje okna wychodzące na wschód zachód; widok na miasto. Standard wykończenia: Ściany - tapeta tynk; Podłogi - mozaika PCV ...,,,left_only
38,164.0,2.0,29.5,10.0,Poznań Dębiec ul. Św. Szczepana,Przytulne mieszkanie na dziesiątym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Dębiec. Dwa pokoje z aneksem kuchennym okna wychodzące na zachód; widok na panoramę miasta. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele...,,,left_only
39,256.0,3.0,56.0,10.0,Poznań Grunwald Centrum Łazarz Ogrody Górczyn ul. Galileusza - Dobra Cena!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecamy do kupna trzypokojowe mieszkanie położone przy ul Galileusza (os Kopernika- Grunwald). Na 53m2 składają się: niezależne pokoje...,,,left_only
40,265.0,3.0,64.3,10.0,Poznań Rataje ul. Orła Białego,Witam serdecznie Przedmiotem sprzedaży jest 3 pokojowe rozkładowe i funkcjonalne mieszkanie o powierzchni 64 30m2 położone na 10piętrze 10 piętrowego bloku na Osiedlu Orła Białego(Rataje)w Poznaniu. Stan prawny nieruchomości- własnościowe z...,,,left_only
41,268.0,3.0,53.0,10.0,Poznań Grunwald,Polecam na sprzedaż mieszkanie 3-pokojowe z balkonem w bardzo dobrej lokalizacji!!! Mieszkanie znajduje się na 10 piętrze w 11 piętrowym bloku. Z balkonu jest piękny widok na panoramę miasta. W okolicy dogodne połączenie komunikacyjne. Lokal...,,,left_only
42,246.0,2.0,49.0,10.0,Poznań Nowe Miasto ul. Armii Krajowej,Polecam na sprzedaż 2 pokojowe mieszkanie (49 m2) usytuowane na 10 piętrze w bardzo zadbanym 16 piętrowym bloku na osiedlu Armii Krajowej. Budynek ocieplony klatka schodowa czysta i zadbana piony i windy po wymianie. Układ niezależny - dwa...,,,left_only
43,240.0,2.0,42.9,10.0,Poznań Nowe Miasto Rataje ul. Os. Czecha,Polecam na sprzedaż dwupokojowe mieszkanie na Ratajach o układzie niezależnym na 10 piętrze w wysokim bloku. Mieszkanie o powierzchni 42 90 składające się: z dwóch niezależnych pokoi częściowo umeblowanych kuchnia z meblami pod zabudowę oraz...,,,left_only
44,280.0,3.0,64.13,10.0,Poznań Dębiec ul. Os Dębina,Kontakt w sprawie oferty: Karolina tel. 728953115 Sprzedam bezpiecznie trzypokojowe mieszkanie bez pośredników. Cena: 280 tys zł (do negocjacji). Trzypokojowe Mieszkanie na poznańskim Dębcu (osiedle Dębina) 10 piętro 64 13 m2 (plus: balkon ...,,,left_only
45,225.0,2.0,42.2,10.0,Poznań Grunwald ul. Newtona,Mieszkanie 2-pokojowe w bloku na ul. Newtona. Mieszkanie znajduje się na 10 piętrze. Budynek z nową elewacją wymienione piony wodno-kan w budynku 2 windy. Układ mieszkania: 2 niezależne pokoje (ok 18m2 z balkonem; 10m2) oddzielna kuchnia z...,,,left_only
46,253.0,2.0,37.0,10.0,Poznań Jeżyce ul. Turkusowa,Do sprzedaży mieszkanie o powierzchni całkowitej 37 m2. Cena sprzedaży wynosi 253 000 zł. Mieszkanie znajduje się w bloku z płyty z 1970r. na 10 piętrze. Mieszkanie jest jednopoziomowe ilość pokoi 2 aneks kuchenny balkon / taras w budynku...,,,left_only
47,225.0,2.0,42.0,10.0,Poznań Grunwald Górczyn Łazarz ul. Newtona,POLECAM NA sprzedaŻ mieszkanie 2-pokojowE o powierzchni 42 2 m2 położonego na 10 - gim piętrze wysokiego budynku na Osiedlu Kopernika ul. Newtona. Mieszkanie posiada dwa nie przechodnie i nasłonecznione pokoje oddzielną jasną kuchnię ...,,,left_only
48,164.0,1.0,30.0,10.0,Poznań ul. Św. Szczepana,Oferta wysłana z programu dla biur nieruchomości - asariWEB Okolica: FITNES BANK BASEN KORT TENISOWY RESTAURACJA CENTRUM HANDLOWE SZKOŁA PRZEDSZKOLE SZPITAL Instalacje w mieszkaniu: telewizja kablowa internetowa telefoniczna,,,left_only
49,210.0,2.0,44.0,10.0,Poznań Rataje Nowe Miasto Malta ul. Os. Piastowskie,Mieszkanie o powierzchni 44m2 znajduje się na X piętrze w tzw. desce . Układ lokalu: - pokój z aneksem kuchennym - sypialnia - łazienka z wc - korytarz. Mieszkania posiada duży balkon. Całość od zachodniej bardzo słonecznej strony z...,,,left_only
50,274.0,3.0,64.0,10.0,Poznań Rataje Śródka Centrum Zawady Wilda Lazarz ul. Orła Białego - Polecam!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 3 pokojowe położone na Ratajach ( os. Orła Białego ). Na 64 m2 składają się trzy ustawne i nieprzechodnie...,,,left_only
51,195.0,2.0,47.0,10.0,Poznań Dębiec ul. Os.Dębina,Sprzedam dwupokojowe mieszkanie o pow.47 m2 w wysokim bloku na os. Dębina. Pokoje o pow.16 m2 oraz 12m2 osobna jasna kuchnia łazienka z wanną po remoncie i przedpokój z szafą w zabudowie.Z większego pokoju wyjście na przestronną loggię.Łazienka...,,,left_only
52,239.0,2.0,42.42,10.0,Poznań Nowe Miasto ul. 2 Oddzielne Pokoje Świetny Dojazd Malta,Zapraszam do zapoznania się z ofertą mieszkania w bliskim sąsiedztwie dużego centrum handlowego oraz malowniczego jeziora Maltańskiego. Gwarantowana dochodowa inwestycja przeznaczając mieszkanie pod wynajem jak i również wspaniałe warunki na...,,,left_only
53,185.0,2.0,38.0,10.0,Poznań Łazarz Wilda Centrum Grunwald Górczyn ul. Głogowska Ul.,Polecam na sprzedaż mieszkanie 2 pokojowe w doskonałej lokalizacji. Mieszkanie położone na 10 piętrze w bloku przy ulicy Głogowskiej lecz plecami do niej co gwarantuje ciszę i spokój. Dwa pokoje - pokoje jeden większy drugi mniejszy. Duży...,,,left_only
54,185.0,2.0,37.5,10.0,Poznań Łazarz,Polecam na sprzedaż mieszkanie dwupokojowe z balkonem w bardzo dobrej lokalizacji!!! Mieszkanie znajduje się na 10 ostatnim piętrze. Remont dachu został przeprowadzony kilka lat temu. W okolicy dogodne połączenie komunikacyjne. Lokal składa się z...,,,left_only
55,225.0,2.0,42.2,10.0,Poznań Grunwald ul. Newtona 16,Witam !PRYWATNIE sprzedam lub oddam w najem mieszkanie 2-pokojowego o powierzchni 42 2 m2 położonego na 10 - gim piętrze wysokiego budynku na Osiedlu Kopernika ul. Newtona blok nr 16. Mieszkanie posiada dwa nie przechodnie i nasłonecznione...,,,left_only
56,185.0,2.0,38.0,10.0,Poznań Górczyn Łazarz Grunwald ul. Głogowska,Polecamy do sprzedaży atrakcyjne mieszkanie na Łazarzu przy ul. Głogowskiej. Mieszkanie o powierzchni 38m2 usytuowane na 10 piętrze w wysokim bloku. Do mieszkania przynależy balkon. Niezależna kuchnia. Stan do remontu. Umeblowanie w cenie...,,,left_only
57,195.0,1.0,35.0,10.0,Poznań Nowe Miasto Orła Białego ul. Os. Orła Białego,6 6 3 - 7 8 3 - 4 4 4 == == == == == 1 przestronny pokój z widokiem na park + balkon i piwnica. Podłogi w panelach. Okna-PCV. W wyposażeniu szafa typu komandor kuchnia zabudowana w łazience kabina prysznicowa. Dzwoń bądź pisz już...,,,left_only
58,260.0,2.0,49.0,10.0,Poznań Piątkowo Winogrady Sołacz Naramowice Jeży ul. Chrobrego,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Piątkowie ( os. Chrobrego ). Na 49 m2 składają się dwa ustawne i nieprzechodnie...,,,left_only
59,269.0,2.0,44.0,10.0,Poznań Rataje ul. Chartowo Malta,Polecam do sprzedaży nowsze 2 pokojowe mieszkanie o pow. 44 m2 położone na 10 piętrze w budynku przy ul Chartowo w Poznaniu. Mieszkanie po remoncie. Pokoje: 20 m2 z aneksem kuchennym z wyjściem na dużą logię sypialnia10 m2 łazienka razem z wc z...,,,left_only
60,209.0,2.0,44.0,10.0,Poznań Rataje Nowe Miasto Malta ul. Os. Piastowskie,Mieszkanie o powierzchni 44m2 znajduje się na X piętrze w tzw. desce . Układ lokalu: - pokój z aneksem kuchennym - sypialnia - łazienka z wc - korytarz. Mieszkania posiada duży balkon. Całość od zachodniej bardzo słonecznej strony z...,,,left_only
61,240.0,3.0,63.0,10.0,Poznań Dębiec,BT - BEZPIECZNA TRANSAKCJA TYLKO Z BIUREM NIERUCHOMOŚCI Sprzedaż mieszkania 3 pokoje niezależne na 10 piętrze. Lokalizacja Poznań osiedle Dębina bliskie sąsiedztwo terenów rekreacyjnych Dębina. Budynek dziesięciopiętrowy cztery mieszkań na...,,,left_only
62,200.0,1.0,31.0,10.0,Poznań Rataje Chartowo Starołęka Malta ul. Czecha,Polecamy na sprzedaż kawalerkę położoną na X piętrze w wysokim bloku z windą na Ratajach Os. CZECHA. Powierzchnia 30 94 m2 + piwnica osobna widna kuchnia przedpokój łazienka. Mieszkanie po remoncie umeblowane (wypoczynek z funkcją spania) ...,,,left_only
63,389.0,3.0,76.9,10.0,Poznań Centrum ul. Okolice Półwiejskiej,Klimatyczne mieszkanie na poddaszu z WINDĄ w samym centrum Poznania. Mieszkanie znajduje się w kamienicy z 1900r. na 5 piętrze. Mieszkanie jest jednopoziomowe ilość pokoi 1 aneks kuchenny. Stan techniczny lokalu - do wprowadzenia stan...,,,left_only
64,350.0,4.0,80.0,10.0,Poznań Rataje,Polecamy na sprzedaż mieszkanie na Ratajach. Mieszkanie jest w pełni umeblowane w stylu angielskim. Z okien cudowny widok na panoramę Poznania. Pośrednik prowadzący Kacper Korczyński tel. 533 888 305 więcej na naszej stronie...,,,left_only
65,225.0,2.0,42.0,10.0,Poznań Grunwald Górczyn Kopernika Newtona ul. Newtona,POLECAMY na sprzedaż mieszkanie 2-pokojowego o powierzchni 42 2 m2 położone na X piętrze wysokiego budynku na Osiedlu Kopernika przy ul. Newtona. Mieszkanie posiada 2 NIEZALEŻNE i nasłonecznione pokoje oddzielną jasną kuchnię przestronną...,,,left_only
66,180.0,2.0,38.0,10.0,Poznań Grunwald Górczyn Łazarz ul. Hetmańska/Głogowska,DWUPOKOJOWE NIEPRZEJŚCIOWE 38M.KW GRUNWALD UL.HETMAŃSKA/GŁOGOWSKA 180 000 ! BARDZO DOBRA LOKALIZACJA DO ZAMIESZKANIA I NA WYNAJEM! CENA DO NEGOCJACJI ! Oferuję na sprzedaż dwupokojowe mieszkanie o pow.38m.kw znajdujące się na 10 piętrze w...,,,left_only
67,270.0,3.0,64.3,10.0,Poznań Rataje ul. Os. Orła Białego,Przestronne mieszkanie na dziesiątym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Rataje. Trzy pokoje okna wychodzące na wschód zachód; widok na panoramę miasta. Standard wykończenia: Ściany - boazeria gładź gipsowa; Podłogi - parkiet;...,,,left_only
68,175.0,1.0,31.0,10.0,Poznań Kopernika Os Grunwald ul. Galileusza,Polecam na sprzedaż ustawną i jasną kawalerkę. Zlokalizowaną na Poznańskim Grunwaldzie przy ul. Galileusza. Do mieszkania przynależy balkon papieski oraz piwnica. Blok ocieplony okna nowego typu drewniane. Parkingi wzdłuż bloku. W pobliżu...,,,left_only
69,255.0,2.0,42.0,10.0,Poznań Nowe Miasto Rataje ul. Os. Czecha,***RATAJE***PO REMONCIE***PST***M1*** Rozkładowe i funkcjonalne dwupokojowe mieszkanie o powierzchni 42m2 na Osiedlu Czecha w Poznaniu. Mieszkanie położone na dziesiątym piętrze jedenastopiętrowego bloku z wielkiej płyty z 1978r. Na...,,,left_only
70,250.0,3.0,56.0,10.0,Poznań Grunwald Górczyn ul. Galileusza,Mieszkanie 3 pokojowe na 10 piętrze na Grunwaldzie. Główne atuty nieruchomości: • bliskość komunikacji miejskiej • cicha i spokojna okolica • po remoncie instalacji Nieruchomość złożona z: • pokój 12 m.kw • przedsionek 3 5 m.kw • pokój 9 m.kw...,,,left_only
71,350.0,4.0,75.76,10.0,Poznań Rataje ul. Stare Żegrze,OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJA BEZPIECZNEJ TRANSAKCJI POLECAM NA SPRZEDAŻ Przestronne ładne i słoneczne 4 pokojowe mieszkanie o pow 75 76m2 zlokalizowane na 10 piętrze w wysokim bloku na os. Stare Żegrze w Poznaniu....,,,left_only
72,285.0,3.0,62.0,10.0,Poznań Rataje ul. Osiedle Rusa,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem odpowiedzialności cywilnej od transakcji. Polecam na sprzedaż 3-pokojowe mieszkanie o powierzchni 62 m2 położone na os. Rusa (Rataje).Mieszkanie znajduje się na X-piętrze w wysokim...,,,left_only
73,273.0,3.0,58.0,10.0,Poznań Rataje Śródka Zawady Centrum Łazarz Wilda ul. Oświecenia - Możliwość Skorzystania Z Kre,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 3 pokojowe położone na Ratajach ( os. Oświecenia ). Na 58 m2 składają się trzy ustawne i nieprzechodnie...,,,left_only
74,285.0,3.0,62.5,10.0,Poznań ul. Os. Rusa,Idealne mieszkanie pod inwestycję! 3 oddzielne pokoje kuchnia łazienka i toaleta- 62 5 m2 + balkon! Mieszkanie znajduje się w wysokim bloku (11 pięter) w którym właśnie zakończyły się pracy nad zewnętrznym ociepleniem budynku. Do mieszkania...,,,left_only
75,209.0,2.0,39.7,10.0,Poznań Górczyn ul. Kordeckiego Augustyna,Zachęcam do zapoznania się z ofertą sprzedaży mieszkania na poznańskim Górczynie przy ul. Kordeckiego. Mieszkanie posiada 2 niezależne pokoje kuchnię z oknem oraz łazienkę z wc. Mieszkanie w stanie do odświeżenia/remontu według własnych...,,,left_only
